title,cuisine,city,address,rating
1200 Miles,American New,Manhattan,31 W. 21st St.,4.0
2 West,American New,Manhattan,"The Ritz-Carlton New York, Battery Park, 2 West St.",3.0
'21' Club,American Traditional,Manhattan,21 W. 52nd St.,3.5
A Voce Columbus,Italian,Manhattan,"Time Warner Center, 10 Columbus Circle, 3rd fl.",3.5
A Voce Madison,Italian,Manhattan,41 Madison Ave.,3.5
Abboccato Italian Kitchen,Italian,Manhattan,136 W. 55th St.,3.5
Acme,American New,Manhattan,9 Great Jones St.,3.5
Ai Fiori,Italian,Manhattan,"Langham Place Fifth Avenue, 400 Fifth Ave.",4.0
All'onda,Italian,Manhattan,22 E. 13th St.,4.0
American Cut,Steakhouse,Manhattan,363 Greenwich St.,4.0
Amma Restaurant,Indian,Manhattan,246 E. 51st St.,4.0
Ammos Estiatorio - Grand Central,Seafood,Manhattan,52 Vanderbilt Ave.,3.0
Andanada,Spanish/Tapas,Manhattan,141 W. 69th St.,3.5
Angus Club Steakhouse,Steakhouse,Manhattan,135 E. 55th St.,4.5
Aretsky's Patroon,American New,Manhattan,160 E. 46th St.,3.5
Arlington Club,Steakhouse,Manhattan,1032 Lexington Ave.,3.0
Armani/Ristorante,Italian,Manhattan,"717 Fifth Ave., 3rd fl.",3.5
Artisanal Fromagerie & Bistro,French,Manhattan,2 Park Ave.,3.5
Asellina,Italian,Manhattan,"Gansevoort Hotel, 420 Park Ave. So.",3.5
At Vermilion,Fusion,Manhattan,480 Lexington Ave.,3.0
Atlantic Grill at Lincoln Center,Seafood,Manhattan,49 W. 64th St.,4.0
Atlantic Grill East Side,Seafood,Manhattan,1341 Third Ave.,4.0
Atrio Wine Bar l Restaurant,Mediterranean,Manhattan,"Conrad New York, 102 North End Ave."
Auden Bistro & Bar,American New,Manhattan,"The Ritz-Carlton New York, Central Park, 50 Central Park South",4.0
Aureole - Liberty Room,American New,Manhattan,"One Bryant Park, 135 W. 42nd St.",4.0
Bann,Korean,Manhattan,350 W. 50th St.,3.5
Bar Boulud,French,Manhattan,1900 Broadway,3.5
Bar Eolo: Sicilian Kitchen & Wines,Italian,Manhattan,190 Seventh Ave.,2.5
Bar Italia,Italian,Manhattan,768 Madison Ave.,3.5
Bar Primi,Italian,Manhattan,325 Bowery,3.5
Barbetta,Italian,Manhattan,321 W. 46th St.,3.0
